Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Alcaligenes faecalis,36,684,435,526,95,56,120,45,305,250,51,0,50,349,370,68,33,58,48,281,372,122,80,100,207,301,244,224,207,217,47,99,3,54,189,274,41,56,581
Chryseobacterium daeguense,2,439,300,410,44,25,76,18,582,88,6,0,6,259,354,17,7,20,2,802,2664,12,5,21,19,13,7,3,5,124,5,81,1,10,93,328,8,15,376
Andreprevotia lacus,29,264,138,863,173,90,234,82,151,101,86,0,50,490,467,80,67,32,33,386,605,84,116,69,263,200,240,196,238,242,58,75,1,83,151,374,22,29,317
Granulicoccus phenolivorans,12,219,241,264,36,34,59,37,346,99,25,0,27,236,193,39,46,14,12,1274,2954,53,22,47,39,29,27,21,12,111,44,51,0,46,60,136,17,19,244
Sporichthya polymorpha,8,428,255,596,44,82,57,132,199,115,16,0,22,394,294,27,24,13,21,764,1578,99,7,81,170,101,155,112,134,260,49,57,1,26,73,220,44,46,433
Actinomycetospora chiangmaiensis,16,377,247,568,78,75,64,56,214,80,29,0,23,398,524,23,24,9,5,899,1672,32,20,42,110,87,76,49,62,191,37,74,0,34,66,284,17,50,494
Corynebacterium matruchotii,8,414,287,343,69,50,56,47,415,244,82,0,20,473,511,26,22,13,8,403,456,24,25,61,214,144,193,163,204,339,36,84,0,21,56,231,22,45,1296
Laribacter hongkongensis,31,361,173,244,125,80,170,81,148,65,105,0,61,376,381,98,74,36,41,308,579,101,120,60,344,290,431,323,425,323,80,81,0,76,132,388,19,33,308
Propionibacterium freudenreichii,10,186,259,316,26,76,46,85,294,79,48,0,37,213,169,57,44,20,22,883,2493,59,35,86,136,144,174,139,93,193,69,64,0,37,48,104,56,49,217
Stackebrandtia nassauensis,10,235,234,634,71,129,94,160,246,93,44,0,41,364,271,65,50,28,20,612,1299,90,45,85,200,167,195,139,264,257,69,63,4,37,78,233,41,21,326
Clostridium fusiformis,60,75,188,50,128,318,159,647,17,34,271,0,393,89,146,417,484,167,174,40,21,108,144,204,97,197,161,201,313,347,461,173,0,141,9,42,285,136,102
Finegoldia magna,10,392,373,348,172,45,50,20,106,150,73,0,69,246,237,45,38,38,35,2119,148,100,19,133,102,299,68,62,13,128,108,145,1,20,86,248,75,85,561
Thermobispora bispora,13,296,211,441,40,79,85,96,195,70,36,0,37,272,343,45,72,13,11,737,1659,40,18,55,192,158,223,162,282,319,50,66,0,18,36,174,28,17,324
Serinicoccus marinus,14,375,191,341,49,34,58,34,201,79,22,0,25,232,537,34,48,13,8,1030,1739,40,38,54,158,95,82,54,18,185,40,78,1,50,62,306,18,29,498
Enterorhabdus caecimuris,14,20,42,20,137,866,147,885,137,81,222,0,444,71,115,544,723,128,398,79,73,165,34,226,167,198,137,198,83,79,151,62,0,31,0,14,59,29,62
Solimonas variicoloris,17,319,243,1015,82,50,121,60,147,98,46,0,51,573,691,49,37,22,15,475,1007,46,55,42,62,54,53,28,31,386,58,88,0,32,91,330,21,26,277
Desulfovibrio alcoholivorans,10,192,176,204,60,139,75,147,112,58,66,0,109,290,171,97,93,103,122,206,535,225,59,177,539,451,540,402,431,272,119,67,61,62,38,135,41,31,178
Solimonas flava,17,350,228,537,76,76,127,66,157,114,43,0,34,804,678,50,47,26,18,595,933,101,50,83,66,51,48,26,22,280,52,64,1,42,104,389,21,27,367
Edwardsiella tarda,13,322,290,721,69,49,77,44,92,108,47,0,18,258,230,50,22,20,27,154,135,46,36,38,198,229,620,543,1054,465,21,54,1,34,65,150,20,22,417
Oligella urethralis,6,232,185,425,396,61,117,10,52,228,35,0,13,411,536,12,5,11,6,1223,205,41,6,16,109,241,7,6,5,115,109,75,2,7,48,304,26,63,1399
Selenomonas sputigena,24,76,313,63,61,125,70,184,95,47,276,0,276,273,129,227,269,127,162,80,214,374,66,539,310,408,353,310,247,257,253,144,2,76,5,32,77,92,95
Pseudoclavibacter faecalis,9,202,209,199,41,48,48,46,252,94,17,0,13,206,160,43,33,10,11,629,2189,24,16,27,277,161,297,244,319,244,115,61,0,11,38,132,14,18,228
Corynebacterium amycolatum,3,537,273,331,277,45,57,69,134,122,41,0,45,399,850,32,33,34,16,855,482,67,6,86,99,209,14,26,35,266,76,61,0,14,109,239,32,43,668
Gemella sanguinis,61,935,87,288,17,10,24,3,21,38,87,0,46,709,133,46,68,154,359,120,67,72,198,199,60,98,68,52,1,33,308,119,2,138,10,49,342,1345,204
Flavobacterium tegetincola,2,825,621,775,61,45,70,12,301,158,37,0,58,216,251,41,14,73,80,155,288,173,11,216,190,159,63,19,51,111,4,96,0,14,322,229,24,24,766
Brevibacterium album,10,223,192,243,49,48,51,96,226,97,29,0,20,267,216,55,40,14,6,787,1993,38,16,49,160,93,120,83,75,171,80,70,1,13,41,242,17,37,537
Enterococcus gallinarum,105,239,191,460,80,70,111,27,124,118,79,0,190,267,358,77,47,32,25,247,365,21,251,56,45,32,18,6,4,596,20,307,645,248,75,373,135,223,229
Cutibacterium avidum,9,273,137,259,119,62,55,27,838,235,52,0,22,192,436,18,32,18,10,1124,967,23,12,50,66,209,49,69,7,301,37,48,0,12,37,204,18,26,436
Riemerella anatipestifer,3,491,390,508,33,25,47,5,465,90,20,0,27,139,278,6,6,39,33,423,2160,44,2,91,64,71,27,5,22,53,6,70,0,5,140,149,19,12,496
Sporosarcina newyorkensis,4,617,274,594,29,20,41,12,50,45,25,0,9,428,604,4,14,17,6,415,201,33,11,46,34,42,49,38,57,146,15,122,1862,10,9,64,45,39,408
Atopobium parvulum,6,71,26,29,151,946,159,1240,248,112,78,0,99,349,52,200,260,315,276,59,42,90,18,92,286,212,154,128,10,25,248,48,64,32,9,45,40,89,109
Actinomyces georgiae,6,151,140,430,26,274,104,96,271,149,23,0,25,279,144,35,34,59,61,839,1853,70,8,145,127,86,78,70,24,131,155,46,2,10,14,88,71,106,165
Aeromicrobium marinum,12,456,196,455,42,37,58,25,220,86,28,0,24,248,367,40,32,20,17,863,1676,50,12,58,150,91,74,81,54,162,14,42,1,18,55,245,21,49,313
Acidaminococcus fermentans,24,26,102,122,31,83,23,94,11,13,325,0,344,90,105,275,300,379,371,48,66,195,133,720,284,427,341,399,219,125,242,77,13,142,2,11,108,59,34
Desulfobulbus elongatus,13,184,106,198,40,79,52,102,71,49,50,0,59,317,241,56,80,15,21,154,363,49,73,63,599,476,656,544,641,438,83,61,1,79,48,112,15,22,152
Brachyspira murdochii,0,791,639,626,61,33,63,16,305,155,62,0,60,182,197,31,15,73,99,111,79,155,10,271,203,168,74,32,105,112,6,99,0,5,274,235,28,28,944
Acidipropionibacterium jensenii,10,135,182,177,42,75,52,72,362,83,8,0,7,175,229,8,19,3,5,845,2792,29,17,42,60,89,70,66,41,144,28,32,1,11,37,122,8,13,217
Desulfovibrio putealis,24,251,144,316,54,68,57,87,65,48,43,0,38,374,366,97,78,17,20,203,487,106,151,102,345,305,402,268,319,248,220,102,204,183,37,139,14,37,264
Corynebacterium genitalium,8,285,440,474,217,27,74,12,83,176,26,0,16,258,550,34,22,13,2,878,579,52,10,20,66,220,53,51,8,215,52,55,1,26,88,214,8,52,882
Streptococcus equinus,63,72,300,71,23,51,32,34,122,19,105,0,150,121,185,130,136,87,135,116,975,37,27,226,14,16,28,35,35,81,195,79,528,50,20,93,733,1015,103
Pseudopropionibacterium propionicum,7,143,263,142,26,77,33,77,189,64,24,0,12,278,264,34,30,35,79,723,1678,107,21,115,140,165,216,139,164,202,142,99,0,12,72,111,14,55,274
Paraoerskovia marina,7,247,217,158,37,20,46,21,282,77,33,0,19,161,175,38,40,13,18,967,2442,98,15,85,80,60,50,27,24,106,74,65,1,15,56,154,15,13,253
Acidipropionibacterium acidipropionici,7,181,144,180,35,56,31,89,261,92,31,0,15,98,281,49,37,28,56,930,1728,38,17,45,175,162,174,152,159,127,30,26,250,27,30,90,5,157,206
Weeksella virosa,5,171,225,276,119,19,57,10,460,67,7,0,8,77,258,5,8,82,70,645,2553,30,4,71,43,59,7,1,13,73,19,45,0,7,66,139,10,26,436
Acetobacter nitrogenifigens,13,373,193,742,66,70,75,34,131,93,37,0,25,971,534,34,28,31,21,242,295,82,28,58,74,85,76,49,59,297,55,114,1,39,202,398,27,34,474
Henriciella marina,12,454,145,1268,55,57,80,74,72,70,35,0,21,944,353,27,13,15,25,388,343,58,42,49,53,62,41,38,13,279,49,68,52,49,88,319,20,30,382
Desulfarculus baarsii,10,251,208,465,52,138,62,171,94,54,25,0,54,185,199,84,77,34,38,150,484,141,75,144,413,323,498,344,342,249,213,100,0,81,38,100,24,25,187
Megasphaera cerevisiae,6,44,17,0,8,7,4,21,10,1,769,0,1254,137,385,774,951,135,140,10,77,179,56,318,51,122,97,160,28,52,93,39,0,33,3,15,33,6,10
Shuttleworthia satelles,41,27,263,231,24,78,46,128,22,16,270,0,322,62,68,261,256,119,140,18,31,319,127,323,230,446,368,385,67,37,279,108,0,158,4,15,234,420,77
Patulibacter minatonensis,9,351,202,603,86,97,170,122,137,99,19,0,26,314,272,26,40,7,12,443,682,46,26,50,174,125,177,158,128,393,63,150,0,18,60,271,16,29,307
Deinococcus frigens,5,106,103,131,14,28,39,33,47,34,16,0,24,343,178,55,49,19,24,227,331,92,3,92,731,448,728,541,699,394,72,36,0,8,21,66,8,11,123
Fodinicurvata sediminis,17,407,123,941,74,63,83,63,83,56,57,0,40,600,294,64,65,17,24,238,377,73,72,60,155,139,171,146,195,308,53,49,0,45,99,294,13,31,277
Desulfocurvus vexinensis,11,200,123,190,57,99,47,140,112,39,62,0,83,341,251,84,116,21,45,276,688,140,53,154,483,369,337,298,220,222,118,48,0,58,21,106,26,23,154
Fodinicurvata fenggangensis,10,429,123,1005,55,54,60,39,69,64,31,0,13,783,515,23,24,19,20,290,431,101,36,88,44,58,49,57,66,222,30,73,0,31,87,331,33,36,390
Streptococcus mutans,420,194,103,138,88,80,96,28,93,152,46,0,42,136,134,29,29,24,72,99,84,63,509,219,52,52,26,58,6,342,32,376,4,847,65,400,137,268,234
Prevotella oris,4,6,25,27,65,39,87,123,181,71,16,0,4,86,48,10,9,662,831,104,43,1128,10,1232,74,89,206,93,31,61,19,12,299,8,3,14,7,11,27
Bacteroides helcogenes,48,45,70,41,93,46,219,57,65,36,372,0,293,98,108,821,749,123,159,48,76,190,55,179,193,240,360,242,135,60,175,74,1,40,23,32,62,22,97
Pseudoclavibacter soli,4,125,158,153,15,25,25,23,331,58,47,0,80,128,133,48,51,2,5,574,2797,35,5,28,42,54,67,46,25,59,4,31,266,7,85,50,17,13,128
Ferrimonas balearica,20,314,129,179,129,65,162,88,118,92,82,0,67,387,334,90,91,53,46,229,221,123,128,112,195,162,360,233,394,195,74,77,0,88,133,179,37,29,307
Desulfonispora thiosulfatigenes,1,729,594,535,34,20,22,17,94,70,184,0,143,269,211,93,112,184,183,69,86,86,24,424,112,119,63,52,29,37,31,47,4,19,128,112,27,25,715
Mitsuokella jalaludinii,25,27,74,40,43,132,55,277,40,42,280,0,261,152,145,273,301,184,184,32,157,353,38,510,271,354,317,310,168,258,146,73,0,40,1,21,27,17,60
Chryseobacterium palustre,6,205,297,232,39,13,43,9,653,130,12,0,11,202,256,24,13,14,1,582,2182,9,8,41,8,14,4,5,1,55,16,82,1,11,62,95,8,12,290
Ottowia thiooxydans,13,297,149,253,65,64,103,66,204,108,36,0,26,441,726,45,43,6,12,342,810,23,56,36,40,54,43,34,45,187,60,65,0,67,67,347,17,23,647
Longispora albida,10,268,199,412,49,54,50,54,144,60,39,0,42,315,287,71,72,16,9,861,1221,57,20,71,109,102,64,70,21,96,109,58,0,23,51,151,34,38,307
Streptococcus australis,6,82,100,114,54,9,36,5,83,99,20,0,11,1423,79,21,21,16,66,297,63,20,4,42,61,162,104,71,7,60,204,98,6,6,5,152,920,846,223
Fusobacterium nucleatum,10,149,99,206,111,64,31,53,395,138,113,0,83,1158,198,72,70,95,128,272,65,61,8,227,97,231,62,98,29,88,94,55,1,11,31,85,305,173,424
Meiothermus chliarophilus,5,222,163,459,50,153,66,164,180,88,44,0,28,350,328,53,48,33,36,404,601,116,27,74,288,238,169,160,67,217,43,60,2,25,93,183,20,31,246
Actinomyces graevenitzii,4,22,54,28,33,97,34,163,70,25,15,0,13,2245,95,16,24,30,231,161,372,29,14,611,33,104,78,33,61,117,228,24,2,8,21,42,124,205,43
Corynebacterium lipophiloflavum,3,215,457,482,71,41,24,31,196,84,16,0,19,199,195,23,25,24,7,656,1278,32,16,41,71,95,49,34,54,205,31,36,0,17,72,103,21,23,557
Jiangella gansuensis,9,284,161,179,34,42,44,42,210,66,21,0,33,265,272,44,49,9,2,827,1690,30,9,29,75,69,48,58,36,135,17,32,0,19,37,218,10,27,357
Glaciibacter superstes,4,332,242,200,23,44,52,42,253,63,14,0,20,133,162,16,16,16,5,651,2173,33,8,26,37,24,28,31,51,119,46,49,0,8,76,150,14,17,306
Nocardiopsis synnemataformans,8,191,189,256,32,47,56,47,140,67,38,0,46,217,297,53,54,4,8,610,1418,23,8,35,150,87,159,112,157,127,159,80,3,12,31,185,8,23,344
Clostridium boliviensis,35,15,114,20,87,109,96,175,11,5,158,0,225,38,100,233,281,101,110,9,52,168,104,138,221,338,263,262,108,70,328,100,300,84,15,72,550,264,50
Corynebacterium halotolerans,5,118,215,293,35,40,49,57,255,92,27,0,24,168,203,40,47,18,22,666,1678,70,20,60,80,63,40,45,31,150,56,59,1,14,76,110,14,30,423
Frateuria aurantia,17,276,173,500,112,56,112,82,135,71,49,0,35,446,527,53,42,32,40,212,673,108,62,82,82,72,107,77,76,170,81,76,1,49,114,311,35,26,182
Prevotella veroralis,10,29,32,70,28,6,35,8,67,30,9,0,4,258,36,3,4,670,865,114,47,1164,10,1390,29,34,69,41,9,37,45,27,0,13,39,23,3,6,70
Corynebacterium pyruviciproducens,10,193,315,308,108,341,90,552,129,45,56,0,141,197,147,189,277,23,21,356,637,75,49,62,29,115,78,63,5,109,87,55,0,75,12,72,51,49,210
Mitsuokella multacida,12,91,224,62,59,188,56,307,64,21,107,0,212,74,87,156,238,40,69,74,135,305,26,241,356,366,354,334,263,192,250,108,0,41,19,54,31,35,73
Marinactinospora thermotolerans,3,279,221,555,43,33,44,41,169,55,21,0,26,158,191,45,37,9,13,565,1368,73,30,59,125,87,107,82,103,152,18,16,2,15,32,152,23,17,277
Bavariicoccus seileri,4,367,101,280,93,84,98,38,211,96,25,0,25,244,718,24,6,47,57,667,170,96,13,95,58,75,26,8,18,477,62,144,0,18,175,289,29,43,249
Methanosalsum zhilinae,2,733,571,603,70,21,47,4,227,135,58,0,47,121,187,31,12,60,67,63,49,124,3,154,159,121,43,17,44,90,6,49,0,6,228,242,29,30,681
Rhodococcus hoagii,10,232,151,190,55,123,79,124,166,93,33,0,15,227,249,43,44,10,22,645,1178,77,12,62,63,42,45,30,8,143,29,49,1,12,69,150,20,20,545
Desulfovibrio longus,15,132,83,548,23,123,55,129,95,37,44,0,49,235,131,81,58,15,15,159,409,55,57,62,434,367,396,300,284,242,78,31,0,55,19,83,21,19,105
Algoriphagus marincola,3,570,495,475,51,31,67,18,191,101,31,0,26,247,381,19,7,61,49,219,166,93,0,98,151,118,66,37,35,67,43,73,1,7,215,169,32,22,601
Desulfatibacillum aliphaticivorans,10,70,41,63,20,43,35,35,26,19,44,0,36,132,89,75,49,38,43,64,128,55,52,71,602,456,689,549,740,332,121,34,0,52,18,28,14,15,104
Holophaga foetida,21,66,47,50,13,20,12,47,43,15,79,0,88,76,149,64,77,33,61,51,217,160,95,163,535,402,582,480,626,281,125,55,1,115,11,25,28,4,57
Staphylococcus capitis,72,405,139,444,64,12,32,3,715,297,51,0,27,308,127,17,6,32,16,640,64,59,8,78,74,46,11,0,2,125,26,20,0,23,22,96,8,45,835
Desulfovibrio desulfuricans,28,60,63,201,27,39,30,36,28,16,38,0,54,20,23,73,57,24,38,46,180,34,89,49,621,675,668,562,546,292,114,45,1,69,6,32,22,25,15
Ruminococcus flavefaciens,7,32,22,14,24,43,22,84,7,4,178,0,246,37,51,106,112,81,148,14,24,1050,40,656,123,169,149,173,102,71,771,194,0,56,5,3,62,17,46
Halomonas anticariensis,18,231,91,495,127,74,162,86,99,93,61,0,32,254,212,49,43,25,34,232,346,96,87,66,92,112,130,78,35,111,45,44,539,55,131,311,25,14,195
Mycobacterium genavense,3,238,179,707,48,37,131,45,138,136,18,0,25,230,292,23,11,27,22,543,848,76,14,94,50,75,37,60,8,132,22,85,0,15,43,143,15,27,316
Coriobacterium glomerans,15,29,34,22,157,895,164,1254,201,154,78,0,119,10,61,190,266,14,34,20,79,80,29,82,163,184,151,159,17,40,63,44,1,30,6,20,12,20,15
Thiobacillus thioparus,15,348,139,394,63,58,115,74,141,77,54,0,47,539,286,72,65,25,14,262,741,65,42,47,62,54,57,55,63,120,64,60,0,34,59,239,28,32,294
Corynebacterium jeikeium,1,262,223,361,266,16,72,4,39,110,21,0,14,262,552,29,19,21,8,647,343,35,7,33,69,137,47,43,18,98,67,73,0,11,79,210,16,50,615
Veillonella atypica,1,102,61,70,14,12,14,14,37,13,136,0,105,2063,165,80,84,293,266,89,78,89,6,427,32,94,52,43,4,54,35,34,1,5,12,24,42,33,143
Desulfonatronum lacustre,13,33,18,35,31,81,51,102,54,28,31,0,39,83,152,50,42,4,5,53,185,26,33,29,577,465,668,512,733,284,119,54,0,49,26,67,7,14,61
Pseudonocardia asaccharolytica,8,297,122,257,28,41,42,28,124,69,27,0,24,326,264,38,29,10,12,648,1229,66,34,68,51,44,55,39,31,130,43,76,1,47,36,135,9,25,291
Desulfovibrio gigas,17,93,40,87,49,115,68,130,54,60,61,0,52,113,141,56,54,24,20,96,207,51,89,68,489,496,516,448,385,192,116,45,1,106,18,88,26,32,90
Lactobacillus oris,456,10,0,8,32,142,35,110,4,1,433,0,637,4,123,247,399,31,137,7,48,87,684,166,28,24,19,19,1,41,21,9,0,757,1,31,2,5,21
Chryseobacterium gregarium,2,293,248,384,30,13,42,4,392,93,17,0,17,157,225,20,11,12,20,428,1164,45,3,58,53,48,35,20,7,77,2,60,0,8,136,196,20,4,370
Glycomyces arizonensis,5,200,154,200,27,75,53,102,107,35,35,0,45,165,113,62,33,9,9,391,828,37,18,43,236,207,285,233,306,196,44,43,2,19,27,134,16,21,182
Leptospira licerasiae,2,187,38,32,45,43,108,11,55,246,15,0,23,79,330,58,9,5,0,362,56,9,1,45,506,324,552,420,604,270,60,45,0,5,0,5,3,10,105
Nakamurella lactea,14,189,133,355,47,27,54,25,137,51,29,0,35,227,344,43,37,7,12,513,1097,28,35,21,103,122,90,110,42,193,13,37,1,35,49,187,14,15,194
Alkanindiges illinoisensis,12,101,77,86,102,21,58,10,46,297,22,0,18,692,125,19,6,6,6,140,58,29,20,21,126,103,162,116,150,230,24,29,0,16,355,1026,18,20,303
Natronococcus occultus,2,445,307,414,55,32,35,6,256,123,52,0,56,168,274,25,19,68,57,141,87,177,11,173,168,128,61,32,45,141,6,65,0,32,230,211,18,16,429
Flavobacterium daejeonense,3,434,320,363,51,21,67,9,280,94,32,0,35,226,292,22,10,38,38,313,703,66,3,73,86,62,35,15,26,93,2,61,1,5,120,140,18,10,378
Dyadobacter fermentans,2,382,210,304,46,30,41,10,178,75,38,0,31,296,233,28,8,86,89,120,131,92,3,103,202,148,164,109,183,193,38,76,1,8,173,154,12,34,439
Terriglobus roseus,3,111,45,544,11,16,45,20,34,10,23,0,29,223,150,45,41,14,40,114,211,116,25,135,391,289,420,343,413,231,47,30,0,18,19,51,20,18,138
Prevotella loescheii,5,22,40,52,8,9,19,13,19,17,29,0,12,65,42,12,17,672,685,27,25,720,8,839,137,126,254,149,85,91,8,6,0,14,4,49,2,0,123
Megasphaera micronuciformis,2,36,9,6,3,7,4,3,1,0,369,0,538,768,167,350,387,276,245,12,15,49,12,426,23,76,66,74,25,58,39,16,265,5,4,3,17,4,40
Corynebacterium coyleae,4,143,198,420,119,25,52,13,69,84,13,0,22,234,345,27,36,15,1,499,309,26,6,6,119,152,107,109,114,406,47,41,0,5,59,109,11,21,415
Lactobacillus reuteri,17,21,20,22,291,1405,341,1161,17,10,5,0,5,37,44,6,9,26,12,30,57,13,37,14,9,20,7,7,3,8,15,27,426,22,6,15,68,28,66
Streptococcus gordonii,4,265,121,226,83,48,47,12,52,54,20,0,3,1011,324,13,7,11,53,226,89,31,7,48,56,105,20,27,4,107,29,88,2,2,54,138,273,275,391
Desulfovibrio aminophilus,11,109,101,406,41,106,44,94,53,34,50,0,84,187,128,88,127,12,24,108,383,94,59,74,315,299,248,185,175,169,72,50,0,68,9,83,25,28,136
Actinoalloteichus spitiensis,7,160,107,117,22,36,35,55,108,73,13,0,16,119,190,24,12,8,7,602,1167,13,13,28,179,119,196,176,179,132,25,27,0,23,22,113,16,17,113
Bacillus infantis,5,87,130,133,36,34,28,74,159,22,12,0,10,78,126,17,15,5,6,491,1198,20,11,19,47,58,75,55,35,56,58,49,881,21,3,72,14,26,97
Thermaerobacter marianensis,18,68,91,61,35,150,47,192,66,54,86,0,96,195,140,102,115,17,25,133,342,84,73,96,292,234,285,229,202,209,103,62,2,97,18,37,25,11,97
Nitriliruptor alkaliphilus,15,185,115,547,51,28,38,35,138,40,25,0,25,183,187,26,31,8,10,412,1129,19,35,47,61,80,63,51,9,114,51,54,1,53,32,124,14,18,105
Neisseria macacae,4,185,67,110,136,18,56,3,427,388,21,0,16,957,303,8,16,2,7,386,34,18,9,88,62,121,29,24,9,104,43,45,0,2,27,131,22,17,247
Streptococcus orisratti,9,53,106,102,20,27,28,10,100,19,11,0,10,45,98,27,18,35,55,174,1589,85,4,95,17,25,10,14,5,28,12,17,329,5,16,32,334,459,67
Anneissia japonica,12,139,84,130,81,72,99,24,161,117,53,0,21,488,513,19,12,53,30,441,178,60,15,54,72,98,28,25,21,168,13,100,21,24,145,194,18,91,186
Actinotignum schaalii,13,101,73,139,22,24,18,23,80,24,37,0,52,71,91,48,45,9,11,286,758,37,48,41,248,348,312,297,305,190,38,39,0,53,26,31,20,19,52
Neisseria elongata,4,76,51,54,72,18,49,25,220,159,51,0,41,764,185,24,10,46,52,114,120,155,21,217,103,107,58,25,78,109,25,48,0,13,112,117,6,11,682
Prevotella marshii,2,23,11,16,32,48,37,25,49,20,22,0,33,58,26,51,54,325,455,40,29,795,10,984,171,150,262,129,50,59,5,5,0,6,3,13,1,5,15
Desulfomicrobium baculatum,9,55,56,278,36,65,24,91,45,19,31,0,61,97,168,64,50,35,26,169,223,84,19,61,384,288,345,266,308,260,91,44,0,18,18,36,16,10,112
Enterococcus durans,552,125,154,109,15,16,14,13,64,18,30,0,51,154,188,21,15,42,40,120,285,13,732,76,10,11,10,6,0,60,9,32,74,482,27,160,25,31,160
Thermocrispum agreste,6,111,135,324,25,63,45,81,141,51,16,0,20,149,152,24,33,10,8,432,1049,28,10,30,126,102,118,75,44,117,31,39,0,7,25,94,9,18,191
Thermocrispum municipale,3,237,141,400,26,39,37,28,120,33,25,0,14,228,210,38,45,19,11,404,961,16,11,19,93,58,80,62,28,106,13,22,0,9,29,134,9,10,221
Simiduia agarivorans,15,132,68,409,82,52,128,46,66,56,89,0,74,369,165,55,49,36,48,146,209,118,46,152,78,76,95,68,55,156,31,16,302,45,83,151,10,18,145
Thiothrix nivea,12,168,83,151,42,37,60,32,134,40,47,0,59,270,134,69,30,17,18,115,897,66,30,31,143,89,194,127,154,173,83,44,0,29,68,103,12,20,147
Thermicanus aegyptius,11,85,48,65,11,18,15,17,321,14,3,0,10,63,71,21,18,1,1,388,1750,6,13,20,123,102,131,103,124,84,24,34,43,23,3,53,3,8,51
Lactobacillus jensenii,6,136,65,72,49,32,44,18,226,118,77,0,52,256,234,42,26,258,280,74,48,134,8,210,137,144,68,28,38,110,5,78,0,12,290,232,13,6,244
Smaragdicoccus niigatensis,6,181,87,172,22,24,39,14,104,47,18,0,14,203,136,29,18,3,7,358,626,10,1,19,200,135,241,180,239,228,45,43,0,14,31,118,10,7,233
Pseudorhodobacter ferrugineus,12,151,80,270,49,30,56,13,56,33,32,0,26,285,684,16,16,12,14,513,294,23,41,29,43,41,20,14,14,46,24,34,2,22,50,566,11,11,216
Proteiniphilum acetatigenes,0,32,86,38,63,35,91,23,225,40,19,0,21,18,48,54,69,3,18,313,1182,12,8,13,200,227,331,280,243,76,10,6,0,9,5,2,2,3,29
Marinimicrobium agarilyticum,18,127,52,166,121,56,189,76,85,57,53,0,50,216,212,68,37,36,34,85,225,91,93,58,150,111,177,125,133,194,59,51,1,66,122,197,17,15,179
Patulibacter americanus,3,233,97,220,42,115,74,89,82,70,38,0,36,395,220,33,52,8,16,336,585,40,9,38,83,69,73,67,19,166,14,44,0,18,38,190,14,25,145
Garciella nitratireducens,7,48,23,40,3,11,8,11,30,9,29,0,36,100,73,34,32,71,52,51,155,14,11,96,161,223,181,140,4,22,37,20,1905,10,8,72,23,16,25
Haliea salexigens,13,177,60,136,77,42,110,42,65,56,43,0,44,314,270,50,64,24,25,117,210,71,46,64,159,102,190,135,170,182,53,37,1,43,78,286,12,14,202
Gordonia hirsuta,3,108,113,531,28,37,35,24,105,48,26,0,18,273,211,28,36,5,3,471,878,25,14,27,34,35,34,37,7,90,39,38,0,12,34,94,17,22,221
Ruminococcus albus,18,23,29,3,22,40,38,51,9,1,207,0,221,24,101,113,143,61,68,31,33,597,31,378,143,265,206,218,65,47,311,72,4,42,0,5,88,44,4
Neisseria polysaccharea,4,149,113,86,79,24,37,6,252,125,56,0,59,342,133,33,12,46,57,114,46,102,10,156,165,173,85,64,62,91,11,78,246,6,215,230,11,12,262
Glycomyces tenuis,2,185,135,166,16,37,41,78,116,51,26,0,31,196,160,45,37,11,8,509,1087,40,13,36,71,47,69,39,7,75,28,49,0,13,27,112,16,12,129
Kordiimonas gwangyangensis,18,177,112,317,54,38,63,42,71,26,49,0,49,432,255,58,54,19,32,123,221,49,52,42,91,116,149,120,127,114,46,51,0,42,69,182,15,18,208
Parascardovia denticolens,14,31,16,55,902,272,356,159,23,7,59,0,57,13,62,133,89,12,13,57,202,30,24,26,158,154,179,174,181,60,45,11,2,21,3,14,7,12,42
Porphyromonas endodontalis,2,69,33,20,39,36,96,23,276,176,231,0,188,86,147,583,491,263,275,29,29,118,2,163,36,34,52,32,24,24,6,4,0,1,5,7,0,2,44
Streptococcus marimammalium,5,32,29,29,1,1,6,11,9,6,30,0,22,74,91,33,27,10,21,33,98,5,1,43,3,2,3,2,0,1,8,12,2890,4,4,9,16,21,51
Neisseria mucosa,15,84,29,51,37,11,35,2,1201,802,16,0,5,422,44,3,5,7,21,125,26,52,4,229,17,25,23,13,33,61,11,7,0,4,3,63,14,13,113
Pseudoramibacter alactolyticus,22,27,217,41,18,51,25,52,16,8,114,0,169,60,59,107,149,44,84,34,51,288,54,249,139,196,202,184,124,101,313,114,1,69,1,19,114,65,45
